country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Paraguay,"4,095","5,22","5,47","6,069","4,931","4,214","5,032","4,216","5,584","4,046","4,904","6,984","7,158","7,249","7,871","9,062","9,788","9,965","9,26","8,837","8,856","8,496","7,196","7,691","9,624","10,738","13,43","17,856","24,615","22,355","27,129","33,737","33,296","38,651","40,378","36,211","36,09","38,997","40,225","37,925","35,432","39,951","41,722","44,142","46,667","49,186","52,829","55,735","58,796"
Peru,"20,19","24,398","24,259","18,863","19,442","16,823","25,241","41,681","32,978","40,699","28,326","33,988","35,377","34,33","43,225","51,38","53,412","56,281","53,918","48,719","50,414","51,034","53,954","58,537","66,126","74,232","87,459","102,187","121,293","121,821","148,991","170,929","193,072","202,581","202,902","192,186","195,633","215,74","226,858","232,419","206,017","225,873","244,594","264,636","277,158","291,094","305,718","320,695","336,236"
Philippines,"37,082","40,735","42,441","37,953","35,86","34,973","34,129","37,932","43,293","48,652","50,508","51,784","60,422","62,037","73,159","84,644","94,65","94,106","74,492","85,64","83,667","78,921","84,307","87,039","95,002","107,42","127,653","155,98","181,007","176,132","208,369","234,217","261,92","283,903","297,484","306,446","318,627","328,481","346,842","376,823","361,751","394,087","404,284","435,675","475,947","521,895","574,428","633,229","698,513"
Poland,"56,731","53,752","65,315","75,555","75,656","70,915","73,822","63,84","68,747","67,027","62,206","80,61","88,888","90,544","103,887","139,363","156,993","157,493","172,389","168,13","171,613","190,805","199,07","217,829","255,292","306,304","344,627","429,021","533,6","439,794","475,697","524,374","495,23","515,762","539,212","476,788","469,65","524,78","588,804","595,968","599,458","681,429","690,68","842,172","880,055","928,942","986,48","1036,478","1067,901"
Portugal,"32,607","32,477","30,678","28,267","25,951","27,231","37,869","47,387","55,435","59,806","79,439","89,904","108,119","95,139","99,692","118,182","122,655","117,211","124,124","127,597","118,658","121,605","134,7","165,185","189,296","197,363","208,767","240,524","263,388","244,402","238,308","245,075","216,361","226,437","229,961","199,414","206,369","221,28","242,423","240,013","228,848","254,152","252,13","276,432","289,515","303,238","316,273","327,215","338,45"
Puerto Rico,"14,436","15,956","16,764","17,277","19,163","20,289","21,969","23,878","26,178","28,267","30,604","32,287","34,63","36,923","39,691","42,647","45,341","48,187","54,086","57,841","61,702","69,669","72,546","75,834","80,322","83,915","87,276","89,524","93,639","96,386","98,381","100,352","101,565","102,45","102,446","103,376","104,337","103,446","100,958","105,126","103,02","106,526","115,017","117,515","119,044","121,312","124,222","129,512","134,119"
Qatar,"6,665","7,374","6,467","5,506","5,708","5,339","4,214","4,441","4,26","4,502","6,266","5,579","6,384","5,804","5,946","6,861","7,761","9,976","8,488","11,266","18,085","17,498","19,334","23,716","30,651","44,636","58,629","75,987","112,621","88,196","119,707","167,775","186,834","198,728","206,225","161,74","151,732","161,099","183,335","176,371","144,411","179,677","236,415","235,5","246,359","258,768","270,694","286,422","294,966"
Romania,"46,053","55,319","55,375","48,401","39,111","48,286","52,29","58,477","60,538","54,236","38,516","29,07","19,779","26,624","30,376","35,838","35,692","35,644","42,543","35,953","37,447","40,396","46,035","57,79","75,059","98,547","122,114","174,831","215,568","174,564","170,294","192,835","179,243","189,83","199,981","177,877","185,334","210,529","243,498","250,993","251,699","285,609","301,273","350,414","382,932","408,351","436,355","461,205","485,163"
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"71,603","196,227","293,768","335,777","412,685","433,704","287,672","209,657","278,264","328,475","370,062","461,518","633,294","817,717","1060,901","1393,416","1779,109","1307,927","1633,111","2046,621","2191,484","2288,428","2048,836","1356,704","1280,648","1575,14","1653,006","1695,724","1488,117","1836,631","2244,249","1862,47","1904,336","1927,977","1957,884","1969,794","1986,85"
Rwanda,"1,493","1,695","1,808","1,932","1,851","2,199","2,49","2,765","2,959","3,09","2,954","2,179","2,313","2,231","1,418","1,47","1,593","2,144","2,29","2,131","2,049","1,967","1,963","2,139","2,388","2,943","3,317","4,069","5,183","5,675","6,124","6,885","7,654","7,821","8,24","8,546","8,695","9,253","9,637","10,345","10,173","11,053","13,309","13,927","13,829","14,25","15,293","16,311","17,839"
Saint Kitts and Nevis,"0,058","0,069","0,079","0,078","0,091","0,101","0,119","0,136","0,161","0,179","0,203","0,201","0,223","0,243","0,272","0,293","0,312","0,351","0,366","0,389","0,421","0,458","0,481","0,469","0,507","0,547","0,644","0,689","0,778","0,774","0,779","0,836","0,825","0,875","0,953","0,957","1,007","1,058","1,076","1,107","0,884","0,859","0,966","1,069","1,122","1,177","1,233","1,293","1,355"
Saint Lucia,"0,17","0,194","0,183","0,197","0,251","0,284","0,34","0,375","0,429","0,486","0,579","0,613","0,674","0,684","0,713","0,762","0,788","0,805","0,877","0,921","0,932","0,892","0,899","0,987","1,066","1,135","1,268","1,331","1,427","1,4","1,463","1,569","1,598","1,66","1,75","1,807","1,869","1,999","2,061","2,103","1,523","1,85","2,297","2,469","2,589","2,715","2,833","2,947","3,066"
Saint Vincent and the Grenadines,"0,089","0,11","0,123","0,132","0,146","0,157","0,174","0,19","0,217","0,232","0,26","0,275","0,3","0,309","0,313","0,341","0,358","0,376","0,403","0,422","0,428","0,462","0,488","0,509","0,55","0,58","0,644","0,714","0,733","0,714","0,72","0,714","0,73","0,765","0,771","0,787","0,814","0,844","0,884","0,911","0,869","0,872","0,947","1,039","1,116","1,183","1,241","1,3","1,361"
Samoa,"0,127","0,119","0,122","0,113","0,111","0,106","0,112","0,124","0,138","0,141","0,182","0,176","0,193","0,198","0,158","0,242","0,258","0,28","0,286","0,262","0,271","0,273","0,289","0,342","0,418","0,486","0,516","0,568","0,684","0,618","0,68","0,744","0,773","0,798","0,797","0,824","0,844","0,885","0,878","0,913","0,869","0,844","0,833","0,939","0,996","1,052","1,11","1,167","1,221"
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1,008","1,06","1,148","1,462","1,714","1,788","1,91","2,189","2,403","2,062","1,883","1,813","1,606","1,678","1,674","1,42","1,468","1,528","1,656","1,616","1,543","1,857","1,785","1,998","2,105","2,181","2,256","2,321","2,388"
Saudi Arabia,"164,54","184,292","153,24","129,181","119,631","103,894","86,886","85,582","88,138","95,217","117,474","132,047","136,905","132,791","134,995","143,152","158,451","165,742","146,775","161,717","189,515","184,137","189,606","215,807","258,742","328,206","376,398","415,687","519,797","429,098","528,207","676,635","741,85","753,864","766,606","669,485","665,999","714,994","846,584","838,565","734,271","868,586","1108,149","1069,437","1109,51","1150,506","1188,132","1230,657","1276,033"
Senegal,"4,338","3,934","3,85","3,435","3,35","3,668","5,188","6,241","6,173","6,083","7,078","6,955","7,435","7,014","4,746","6,026","6,3","5,867","6,416","6,599","6,016","6,508","7,001","8,767","10,072","11,015","11,699","13,996","16,852","16,128","16,134","17,811","17,672","18,919","19,802","17,777","19,035","20,989","23,127","23,405","24,534","27,584","27,744","31,141","35,185","39,666","42,621","45,527","49,45"
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"23,635","18,529","11,973","9,79","13,009","17,185","22,515","26,017","27,496","32,602","43,395","52,094","45,156","41,369","49,28","43,316","48,394","47,062","39,656","40,693","44,179","50,641","51,514","53,356","62,768","63,502","75,015","81,694","88,905","95,52","101,988","108,357"
Seychelles,"0,147","0,154","0,148","0,147","0,151","0,169","0,208","0,249","0,284","0,305","0,369","0,374","0,434","0,474","0,486","0,508","0,503","0,563","0,608","0,623","0,615","0,622","0,698","0,706","0,839","0,919","1,016","1,034","0,998","0,847","0,97","1,018","1,06","1,328","1,388","1,432","1,568","1,675","1,777","1,867","1,38","1,501","1,977","2,085","2,124","2,273","2,433","2,603","2,778"
Sierra Leone,"1,701","1,823","2,05","1,782","2,062","1,755","1,314","1,145","1,877","1,724","0,948","1,138","0,992","1,122","1,331","1,273","1,374","1,24","0,981","0,977","0,941","1,084","1,25","1,38","1,439","1,61","1,884","2,159","2,511","2,454","2,578","2,942","3,802","4,916","5,007","4,252","3,855","3,713","4,085","4,074","4,059","4,148","3,987","3,519","3,605","3,737","3,968","4,348","4,701"
Singapore,"12,082","14,367","15,879","18,011","19,563","18,573","18,78","21,629","26,551","31,436","38,892","45,465","52,131","60,604","73,689","87,813","96,293","100,124","85,728","86,287","96,077","89,794","92,538","97,646","115,034","127,808","148,627","180,942","193,617","194,15","239,808","279,357","295,093","307,576","314,864","307,999","319,03","343,273","376,87","376,837","348,392","423,797","466,789","497,347","520,973","547,319","573,146","598,995","626,065"
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"13,726","15,837","20,034","21,659","21,927","22,825","20,867","20,73","21,421","24,888","34,085","43,19","49,116","57,492","77,239","97,17","89,302","91,237","99,905","94,684","98,937","101,463","88,91","89,928","95,616","106,186","105,722","106,643","118,735","115,56","133,044","145,25","153,902","161,479","168,164","175,197"
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"19,271","16,626","16,845","21,384","21,516","20,805","22,168","22,77","20,393","20,901","23,539","29,673","34,448","36,261","39,514","48,073","55,773","50,513","48,248","51,575","46,607","48,416","50,01","43,112","44,754","48,572","54,202","54,393","53,691","61,873","60,111","68,394","73,865","78,808","83,112","86,516","90,126"
Solomon Islands,"0,183","0,194","0,193","0,181","0,182","0,166","0,148","0,155","0,176","0,173","0,215","0,228","0,269","0,301","0,403","0,469","0,511","0,527","0,458","0,488","0,42","0,41","0,346","0,353","0,398","0,477","0,539","0,62","0,699","0,736","0,847","1,05","1,185","1,286","1,336","1,308","1,379","1,47","1,615","1,619","1,536","1,545","1,591","1,69","1,794","1,911","2,03","2,161","2,298"
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"5,022","5,183","5,869","6,443","6,841","7,391","8,252","8,278","9,42","9,204","9,839","10,42","11,515","12,491","13,544","14,691","15,912","17,191"
South Africa,"89,412","93,15","85,897","96,205","84,838","64,481","73,399","96,533","104,01","108,07","126,027","135,227","146,97","147,236","153,569","171,736","163,34","169,004","152,885","151,426","151,855","135,527","129,385","197,017","256,188","288,749","304,055","332,65","316,491","331,184","417,315","458,708","434,4","400,877","381,195","346,663","323,493","381,317","405,093","389,245","338,193","420,009","405,106","380,906","401,466","417,947","432,496","445,457","459,022"
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"17,34","11,267","14,947","15,179","15,326","2,899","1,804","3,118","4,044","5,352","5,935","8,535","6,267","7,4","7,56","7,904","8,306","9,046"
Spain,"230,759","204,588","197,643","172,856","172,381","181,62","251,304","318,389","374,068","412,59","535,652","576,446","630,122","529,319","531,137","613,946","640,026","589,376","618,414","635,968","598,628","627,834","708,256","907,264","1068,57","1154,354","1260,466","1474,176","1631,685","1489,853","1423,27","1480,45","1325,59","1355,599","1372,174","1196,278","1233,215","1312,782","1422,347","1394,474","1277,106","1446,613","1418,916","1582,054","1676,539","1751,938","1816,052","1870,318","1926,172"
Sri Lanka,"5,194","5,404","5,834","6,298","7,382","7,302","7,826","8,149","8,518","8,55","9,787","10,716","11,553","12,351","14,245","15,127","16,592","18,544","19,05","19,143","20,007","19,236","20,238","22,352","24,423","28,88","33,447","38,27","48,177","49,75","58,643","67,725","70,392","76,934","82,483","85,091",88,"94,376","94,484","89,015","84,441","88,548","74,846",no data,no data,no data,no data,no data,no data
Sudan,"9,095","6,53","4,748","6,485","7,992","5,547","7,4","11,964","9,551","16,853","2,245","2,528","3,1","5,246","5,961","6,694","8,377","10,241","10,924","10,714","13,134","15,716","18,137","21,355","26,646","35,183","45,264","59,44","64,833","54,812","65,716","66,448","48,948","52,892","60,726","64,534","64,888","48,906","33,432","33,586","34,468","34,788","33,752","25,569","25,834","26,217","26,587","26,932","27,251"
Suriname,"1,276","1,427","1,469","1,419","1,387","1,402","1,43","1,573","1,864","2,177","0,577","0,637","0,59","0,465","0,523","0,993","1,234","1,322","1,588","1,308","1,355","1,167","1,474","1,729",2,"2,393","2,812","3,144","3,783","4,15","4,677","4,735","5,332","5,51","5,612","5,126","3,317","3,592","3,996","3,984","2,884","2,985","3,51","3,539","3,994","4,434","4,743","5,085","5,318"
Sweden,"140,384","128,148","113,059","103,89","108,255","113,249","149,633","181,991","205,883","216,691","259,9","272,205","283,228","212,953","229,034","267,307","291,746","268,146","270,81","274,071","262,834","242,395","266,848","334,337","385,119","392,219","423,091","491,255","517,706","436,536","495,813","574,094","552,484","586,842","581,964","505,104","515,655","541,019","555,455","533,88","547,054","639,715","591,189","597,11","620,712","656,751","688,223","718,924","750,568"
Switzerland,"122,466","112,129","114,891","114,517","109,4","110,965","159,074","199,086","215,36","208,135","265,911","269,003","279,764","272,006","301,246",353,"340,181","294,773","303,172","297,493","279,224","286,711","309,53","362,192","403,346","418,05","441,7","490,865","566,936","553,761","598,137","715,686","686,383","706,456","726,735","693,892","687,619","695,361","725,778","721,834","741,059","812,383","818,471","905,684","977,947","1025,312","1083,066","1129,043","1191,05"
Syria,"12,98","16,652","17,415","18,649","19,171","21,177","25,428","32,497","16,538","9,849","12,303","12,738","13,263","13,796","15,105","16,556","17,761","16,573","16,144","16,785","19,861","20,979","22,758","21,702","25,204","28,881","33,824","40,488","52,631","53,939","60,043",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
S?o Tom� and Pr�ncipe,"0,069","0,084","0,081","0,076","0,079","0,083","0,117","0,117","0,1","0,099","0,12","0,108","0,096","0,127","0,132","0,104","0,136","0,093","0,073","0,078","0,077","0,072","0,08","0,096","0,104","0,125","0,133","0,145","0,188","0,201","0,191","0,228","0,231","0,269","0,295","0,262","0,294","0,325","0,387","0,416","0,476","0,529","0,548","0,674","0,76","0,832","0,906","0,985","1,07"
Taiwan Province of China,"42,285","48,969","49,535","54,148","61,071","63,617","78,195","105,039","126,473","152,704","166,622","187,14","222,911","236,339","256,247","279,059","292,494","303,284","279,964","303,83","330,68","299,276","307,439","317,381","346,924","374,06","386,45","406,907","415,901","390,829","444,281","483,974","495,61","512,943","535,328","534,515","543,081","590,733","609,198","611,396","673,178","775,741","760,46","751,93","791,608","839,328","886,141","928,388","959,714"
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,291","0,678","0,829","0,569","1,052","1,121","1,32","1,087","0,991","1,057","1,212","1,555","2,073","2,311","2,811","3,712","5,135","4,977","5,642","6,523","7,592","8,506","9,242","7,857","6,994","7,535","7,762","8,301","8,134","8,934","10,493","11,816","12,922","14,086","15,361","16,738","18,16"
Tanzania,"10,873","13,005","14,932","15,294","13,915","12,556","15,874","7,821","7,474","6,444","5,172","6,019","5,588","5,17","5,478","6,382","7,889","9,341","11,481","11,777","12,369","12,61","13,125","14,159","15,576","17,174","18,867","21,807","27,762","28,985","31,533","34,067","39,651","45,681","50,002","47,384","49,774","53,227","56,699","60,701","65,549","69,938","77,065","84,033","85,965","92,411","101,074","111,633","123,593"
Thailand,"33,422","35,999","37,799","41,366","43,179","40,185","44,52","52,204","63,704","74,637","88,467","101,247","115,576","128,889","146,684","169,279","183,035","150,18","113,676","126,539","126,132","120,296","134,301","152,281","172,896","189,318","221,758","262,943","291,383","281,711","341,105","370,819","397,558","420,334","407,339","401,296","413,366","456,357","506,754","543,977","500,457","505,568","495,424","512,193","543,248","579,69","613,5","646,635","682,681"
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,367","0,477","0,47","0,49","0,441","0,462","0,454","0,543","0,648","0,727","0,882","1,042","1,16","1,396","1,447","1,594","1,651","1,596","1,564","2,029","2,158","3,621","4,904","2,023","2,037","2,185","2,34","2,507","2,685"
Togo,"1,994","1,656","1,396","1,33","1,222","1,281","1,795","2,107","2,345","2,302","2,772","2,74","2,873","2,189","1,697","2,24","2,448","2,494","2,361","2,37","2,014",2,"2,301","2,854","3,048","3,08","3,173","3,76","4,578","4,717","4,75","5,421","5,417","6,022","6,395","5,756","6,069","6,385","7,033","6,993","7,4","8,338","8,144","9,111","9,855","10,62","11,448","12,273","13,154"
Tonga,"0,071","0,079","0,079","0,077","0,081","0,076","0,09","0,098","0,115","0,139","0,144","0,169","0,178","0,183","0,189","0,207","0,218","0,222","0,212","0,199","0,205","0,181","0,183","0,202","0,231","0,262","0,292","0,299","0,344","0,312","0,367","0,415","0,471","0,451","0,44","0,437","0,421","0,46","0,481","0,511","0,49","0,47","0,498","0,547","0,581","0,607","0,63","0,652","0,674"
Trinidad and Tobago,"6,343","7,113","8,28","7,898","7,891","7,503","4,877","4,88","4,574","4,397","5,155","5,399","5,533","4,656","5,032","5,421","5,859","5,837","6,148","6,926","8,295","8,96","9,148","11,464","13,472","16,17","18,6","21,937","28,193","19,52","22,522","25,789","26,845","28,188","29,174","26,502","23,208","23,45","23,964","23,158","20,203","23,923","30,053","27,887","29,619","30,516","31,09","31,644","32,195"
Tunisia,"9,566","9,223","8,9","9,202","9,054","9,245","9,91","10,663","11,073","11,069","14,133","14,897","17,809","16,724","17,886","20,616","22,324","21,762","22,87","24,066","22,524","23,146","24,274","28,797","32,71","33,851","36,059","40,819","47,039","45,593","46,21","48,122","47,311","48,681","50,273","45,779","44,36","42,167","42,687","41,905","42,54","46,688","46,361","51,271","53,482","54,922","57,035","59,044","61,268"
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1,607","9,063","7,675","9,927","4,021","4,531","4,837","6,518","8,487","11,717","14,703","19,307","23,991","29,023","36,154","43,875","36,363","34,162","34,788","44,07","49,858","51,301","55,523","44,06","41,698","46,365","48,686","52,961","53,194","64,367","77,252","81,822","90,904","100,563","111,379","123,559","137,257"
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,015","0,014","0,017","0,02","0,023","0,023","0,024","0,029","0,032","0,028","0,032","0,04","0,039","0,039","0,039","0,037","0,041","0,045","0,048","0,054","0,052","0,06","0,059","0,063","0,067","0,071","0,075","0,079","0,083"
"Türkiye, Republic of","96,596","97,865","88,918","84,968","82,642","92,827","102,337","118,926","125,032","147,727","207,508","208,402","219,176","248,573","179,359","233,566","250,486","261,857","275,834","256,566","274,321","202,248","240,191","314,752","409,127","506,186","555,126","680,489","770,82","648,797","776,558","838,508","880,141","957,504","938,512","864,071","869,28","858,932","780,19","760,52","720,159","818,337","905,841","1154,6","1340,689","1402,105","1454,23","1515,513","1575,998"
Uganda,"7,486","12,12","8,41","9,619","7,399","6,771","6,746","10,878","11,268","9,136","7,452","3,897","3,645","4,311","6,24","7,473","7,713","8,407","8,23","7,823","7,756","7,835","8,425","8,725","10,75","12,46","14,079","17,512","22,419","24,107","24,683","27,501","30,939","32,331","34,754","29,789","30,618","31,583","34,139","37,893","37,927","42,676","48,244","52,39","57,898","63,749","69,481","75,748","82,813"
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"22,193","35,025","38,012","38,275","46,083","51,867","43,315","32,661","32,331","37,863","42,339","50,096","64,747","85,996","107,767","143,26","181,313","117,079","136,011","163,059","175,781","183,31","133,392","90,922","93,349","112,127","130,916","153,95","156,566","199,835","160,501","173,413","186,261","196,048","206,631","214,752","223,506"
United Arab Emirates,"41,725","46,461","43,205","39,588","39,245","38,519","30,526","33,519","34,069","39,325","50,682","49,3","51,952","52,144","57,395","63,432","72,853","77,167","75,304","84,42","102,987","103,312","109,816","124,346","147,812","180,616","222,117","257,883","315,464","253,547","300,189","360,833","384,61","400,219","414,105","370,276","369,255","390,517","427,049","417,99","349,473","415,179","507,064","509,179","536,829","561,155","588,636","618,938","652,441"
United Kingdom,"604,85","588,508","559,452","533,014","504,994","537,245","655,186","814,43","990,377","1008,476","1198,166","1250,006","1291,208","1156,686","1243,438","1346,449","1423,074","1562,135","1655,219","1689,707","1669,283","1649,083","1788,663","2058,485","2424,053","2547,665","2713,729","3094,006","2962,502","2426,291","2493,844","2667,317","2706,822","2788,128","3066,819","2935,506","2709,678","2685,637","2881,845","2858,728","2706,542","3123,231","3081,871","3332,059","3587,75","3830,045","4083,248","4334,244","4576,278"
United States,"2857,325","3207,025","3343,8","3634,025","4037,65",4339,"4579,625","4855,25","5236,425","5641,6","5963,125","6158,125","6520,325","6858,55","7287,25","7639,75","8073,125","8577,55","9062,825","9631,175","10250,95","10581,925","10929,1","11456,45","12217,175","13039,2","13815,6","14474,25","14769,85","14478,05","15048,975","15599,725","16253,95","16843,225","17550,675","18206,025","18695,1","19477,35","20533,075","21380,95","21060,45","23315,075","25462,725","26949,643","27966,553","29048,892","30223,881","31428,865","32690,373"
Uruguay,"12,217","13,636","11,147","6,119","5,819","5,686","7,059","8,832","9,137","9,63","11,204","13,502","15,515","18,064","21,04","23,267","24,73","26,155","27,704","26,178","24,892","22,802","14,863","13,159","14,959","18,986","21,416","25,603","33,151","34,565","43,967","52,354","55,938","62,857","62,546","58,218","57,58","65,068","65,229","62,056","53,664","61,413","71,177","76,244","81,07","85,132","89,151","93,172","97,224"
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"4,476","6,897","8,175","12,746","17,453","18,433","18,738","21,362","17,195","14,581","12,106","12,697","15,045","17,939","21,344","27,963","35,858","41,945","49,772","60,213","67,52","73,192","80,848","85,662","85,658","62,081","52,87","60,284","60,225","69,601","80,418","90,392","99,582","113,025","129,039","147,354","168,742"
Vanuatu,"0,121","0,114","0,114","0,117","0,144","0,132","0,128","0,139","0,158","0,154","0,169","0,201","0,209","0,2","0,234","0,249","0,261","0,273","0,262","0,268","0,272","0,257","0,262","0,315","0,365","0,39","0,435","0,517","0,582","0,59","0,652","0,738","0,736","0,755","0,774","0,744","0,775","0,88","0,929","0,93","1,008","0,942","1,073","1,166","1,263","1,357","1,44","1,527","1,611"
Venezuela,"69,841","78,367","79,998","79,672","57,826","59,865","60,877","46,854","60,378","44,672","48,391","53,382","60,4","59,865","58,357","77,427","70,536","85,684","91,836","97,517","117,596","123,119","95,258","83,684","112,254","143,375","178,521","232,857","306,764","268,624","318,281","316,482","372,592","258,931","214,69","125,449","112,915","115,883","102,021","73,003","43,788","57,666","92,104","92,21","97,676",no data,no data,no data,no data
Vietnam,"35,357","17,617","23,369","35,204","61,171","19,045","43,009","53,385","29,501","7,991","8,217","9,704","12,528","16,736","20,712","26,407","31,352","34,146","34,58","36,444","39,585","41,297","44,563","50,233","62,877","73,197","84,301","98,426","124,756","129,022","143,212","171,312","195,169","212,728","232,888","236,795","252,146","277,071","304,47","331,818","346,31","369,736","406,452","433,356","469,672","514,653","559,286","606,435","657,276"
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"2,843","3,283","3,41","3,76","4,068","4,271","4,314","4,004","3,556","3,968","4,603","5,126","5,348","5,816","7,31","8,086","9,682","11,186","12,208","13,515","13,99","13,972","15,405","16,128","16,277","17,134","15,532","18,109",no data,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"12,644","14,665","17,959","21,737","28,019","12,796","6,496","6,838","6,322","7,639","9,679","9,853","10,693","11,778","13,868","16,732","19,063","21,651","26,911","25,13","30,907","32,726","35,401","40,415","43,229","42,444","31,318","26,842","21,606","21,888","20,22","19,263","23,548","21,045","21,89","25,19","28,374","30,982","33,747"
Zambia,"4,246","4,385","4,232","3,653","3,003","2,848","1,962","2,431","4,095","4,365","4,085","3,69","3,614","3,549","3,657","3,799","3,599","4,303","3,538","3,405","3,601","3,87","4,194","4,902","6,221","8,329","12,762","14,06","17,914","15,332","20,264","23,455","25,502","28,042","27,145","21,245","20,965","25,874","26,312","23,309","18,111","22,148","29,742","29,536","31,042","33,5","36,227","39,167","42,407"
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"10,144","9,45","7,793","7,569","7,959","8,263","10,117","10,386","12,099","11,769","11,34","11,244","10,735","9,574","9,465","9,046","8,141","7,785","6,707","9,666","12,042","14,1","17,116","19,093","19,499","19,969","20,555","21,385","37,035","26,045","26,905","35,99","31,49","32,424","47,078","49,734","50,479","47,398","49,153"
Africa (Region),"465,984","475,726","481,617","462,898","404,801","397,355","436,64","489,89","520,383","559,467","652,894","602,956","604,292","605,187","593,646","705,304","787,268","817,048","825,84","683,484","703,639","681,618","696,043","839,923","1005,933","1182,934","1364,479","1585,739","1855,014","1762,193","2060,26","2304,703","2464,057","2556,383","2650,979","2422,14","2303,976","2317,348","2482,1","2542,636","2457,79","2745,183","2945,709","2858,342","2977,627","3238,433","3498,351","3773,611","4081,13"
Asia and Pacific,"2364,507","2528,778","2460,76","2613,92","2772,608","2826,44","3602,506","4277,708","5105,057","5305,86","5533,899","6097,52","6680,117","7521,951","8151,945","9262,532","9042,218","8699,034","7869,787","8742,129","9361,234","8736,187","8971,293","10011,788","11297,217","12214,682","13068,857","14942,931","16904,74","17369,214","20285,719","23329,742","24792,189","25175,849","26097,703","25885,372","26951,197","28886,244","31002,225","31784,01","31871,588","36379,774","36334,333","37035,066","39021,871","41681,136","44381,729","47092,931","50086,473"
Australia and New Zealand,"185,478","211,887","210,292","201,967","219,522","196,927","208,905","250,071","316,586","352,456","369,857","367,908","359,621","354,104","406,274","441,332","493,782","495,285","438,198","470,617","454,085","430,906","487,346","623,471","760,168","849,199","892,533","1084,407","1191,85","1122,499","1399,835","1682,012","1744,45","1706,173","1656,783","1409,318","1449,419","1585,214","1626,682","1596,312","1570,933","1894,688","1944,578","1937,128","1933,201","2037,292","2140,219","2244,077","2350,325"
Caribbean,"18,167","19,868","21,931","21,855","21,867","22,314","21,287","20,202","20,611","22,203","22,559","22,447","22,208","22,92","26,021","31,753","34,292","37,046","39,82","42,419","44,608","45,017","46,698","48,258","53,494","60,516","66,002","74,602","84,171","74,03","79,327","85,997","90,204","92,634","94,693","92,891","87,703","91,212","95,539","94,727","82,256","99,046","118,553","128,173","139,648","148,809","158,505","164,729","171,097"
Central America,"35,209","35,229","35,787","37,585","44,79","38,87","38,316","37,983","36,255","40,982","37,458","46,358","52,374","57,175","62,432","69,567","74,434","81,209","87,95","89,148","94,485","99,752","105,188","103,104","110,296","132,197","144,813","164,848","185,687","185,652","206,628","231,987","250,229","265,431","283,086","303,112","319,87","338,593","351,791","365,007","337,38","384,403","433,455","478,018","510,153","543,104","578,192","615,464","655,005"
Central Asia and the Caucasus,"96,596","97,865","88,918","84,968","82,642","92,827","102,337","118,926","125,032","147,727","207,508","208,402","230,644","273,172","212,783","280,605","303,79","319,439","334,396","312,971","330,983","264,186","310,923","399,802","518,274","645,974","741,591","926,006","1070,853","925,951","1109,341","1257,267","1336,803","1457,113","1438,101","1289,124","1229,269","1237,449","1172,691","1171,251","1112,393","1269,859","1434,045","1742,559","1988,087","2101,211","2203,802","2321,499","2446,842"
